Xt,Yt,Zt,THETAt,Xf,Yf,Zf,THETAf
-0.6991078147158396,-0.0001921273688153338,0.574,-0.0026652916189513014,-0.713,0.004,0.615,-0.040000000000000036
-0.7011077852566976,-0.0001811491101874216,0.573,-0.002701510609776379,-0.713,0.004,0.615,0.0
-0.7001080679869032,-0.0002935148643635751,0.572,-0.002330798586037349,-0.711,0.005,0.615,0.08000000000000007
-0.700108226586708,0.000634803482136455,0.571,-0.0020943098812383127,-0.712,0.005,0.615,-0.040000000000000036
-0.7001088734927498,0.00010397093930086022,0.57,-0.0003430151484022059,-0.711,0.006,0.615,0.0
-0.7011087210578775,-0.00032127660640479563,0.57,0.0010599381138515368,-0.71,0.006,0.615,0.040000000000000036
-0.7001075888174964,-0.0008885950954065979,0.569,0.0029316077279592256,-0.707,0.006,0.614,0.040000000000000036
-0.7011073926204882,4.682697831757802e-05,0.569,0.003144660615165564,-0.708,0.006,0.614,-0.040000000000000036
-0.7001071565457375,0.0009744997523932323,0.569,0.0033832798488366645,-0.707,0.007,0.612,0.040000000000000036
-0.7001065139273905,0.0017994939464441404,0.57,0.0039606531731658425,-0.706,0.007,0.61,0.0
-0.7031039650958533,0.004271896076101467,0.574,0.005701295261641633,-0.704,0.007,0.608,0.040000000000000036
-0.7031074229271446,0.006056513664572378,0.578,0.003112702682084614,-0.702,0.008,0.607,0.040000000000000036
-0.7031085727583417,0.007560545336677575,0.58,0.0014498248974391373,-0.704,0.008,0.607,-0.08000000000000007
-0.7021088281664952,0.008804327993553702,0.583,0.0006455502482352073,-0.702,0.008,0.607,0.08000000000000007
-0.7001086748189211,0.010362283752820379,0.597,-0.0011952266972275621,-0.704,0.009,0.607,0.0
-0.6991084786703495,0.011500158121273196,0.603,-0.001650094611413096,-0.704,0.009,0.608,0.0
-0.6951078606866323,0.012790436571191437,0.61,-0.00260776733940559,-0.704,0.01,0.609,0.0
-0.6901074189041431,0.01294477789365082,0.627,-0.0031169637398287403,-0.705,0.011,0.613,-0.040000000000000036
-0.6891074489425085,0.013935091206560333,0.635,-0.0030850058067477893,-0.705,0.012,0.616,0.0
-0.6871074648363918,0.013929924973054283,0.6439999999999999,-0.0030679615757712823,-0.705,0.012,0.619,0.0
-0.6751048291825112,0.01656924384360089,0.6659999999999999,-0.005177185159114039,-0.705,0.013,0.628,0.0
-0.6400999361419163,0.018329959391547218,0.724,-0.007686948170404713,-0.701,0.017,0.673,0.08000000000000007
-0.5960970092638,0.019683835937595533,0.7749999999999999,-0.00885447799229545,-0.69,0.021,0.711,0.1200000000000001
-0.5890954760843217,0.019851732318856806,0.7829999999999999,-0.009408415499031934,-0.687,0.021,0.722,0.11999999999999567
-0.5760936692263516,0.020037708825238025,0.7919999999999999,-0.010022007814186188,-0.684,0.022,0.733,0.1200000000000001
-0.5540863521817042,0.020696365943460703,0.8039999999999999,-0.012195147263690847,-0.675,0.023,0.757,0.20000000000000018
-0.5430816917507517,0.02006055728961714,0.8089999999999999,-0.013396765547534599,-0.669,0.024,0.77,0.2400000000000002
-0.5300778630594378,0.019336925561343605,0.814,-0.01430863190477773,-0.667,0.029,0.787,0.08000000000000007
-0.5160704433972653,0.01882766392627254,0.818,-0.015927833847545907,-0.655,0.03,0.809,0.2400000000000002
-0.49805415694921135,0.01876003088557639,0.819,-0.019004317538805444,-0.649,0.031,0.82,0.2400000000000002
-0.48704314821919503,0.018312710780559682,0.818,-0.020828050253291704,-0.642,0.032,0.831,0.28000000000000025
-0.4740408693060374,0.01742117825956932,0.818,-0.021185979103798356,-0.634,0.032,0.841,0.3200000000000003
-0.46203855156938645,0.01652964491594216,0.817,-0.021543907954305004,-0.623,0.033,0.856,0.16000000000000014
-0.4370356282016546,0.013663935806155741,0.814,-0.02198705795969419,-0.612,0.034,0.864,0.4400000000000004
-0.42304758957386757,0.013095773410214513,0.8109999999999999,-0.020112192552278405,-0.603,0.034,0.869,0.3600000000000003
-0.41205523155111123,0.011703212209129493,0.8079999999999999,-0.018816830998063867,-0.597,0.034,0.873,0.2400000000000002
-0.39307556756059003,0.009494479705841784,0.8019999999999999,-0.014828480949561197,-0.588,0.034,0.876,0.3600000000000003
-0.38408682221820506,0.008657621859922061,0.7979999999999999,-0.012067315531367043,-0.565,0.034,0.881,0.5200000000000005
-0.37609346142030464,0.008058372812185485,0.7949999999999999,-0.010090184738092218,-0.554,0.034,0.881,0.43999999999999595
-0.36709900989932964,0.006447488109484534,0.7929999999999999,-0.00807470442512025,-0.531,0.032,0.878,0.4800000000000004
-0.3521041835258672,0.006689357604952211,0.7889999999999999,-0.00557346352931783,-0.519,0.035,0.875,0.4800000000000004
-0.3451060759601092,0.0063064134355131545,0.7879999999999999,-0.004310059908184239,-0.506,0.035,0.871,0.5200000000000005
-0.34210740882256196,0.0029480067891337106,0.7929999999999999,-0.003127616384189057,-0.481,0.029,0.86,0.5200000000000005
-0.3311084706396437,0.0015050014814479463,0.7949999999999999,-0.0016660735779535712,-0.468,0.027,0.855,0.5199999999999982
-0.3271078060926617,0.0018111015308917677,0.7969999999999999,-0.0026759442633116186,-0.456,0.026,0.85,0.4800000000000004
-0.3231078335657562,0.001800769051506858,0.7979999999999999,-0.0026418558013586043,-0.451,0.026,0.844,0.20000000000000018
-0.320104922256123,0.004551162180304002,0.8019999999999999,-0.005117530350696264,-0.425,0.024,0.837,0.5600000000000005
-0.3181043476345891,0.004659652075031479,0.8029999999999999,-0.005475459201202914,-0.415,0.023,0.834,0.40000000000000036
-0.3161040676462342,0.005710022311865898,0.8039999999999999,-0.005641640453223858,-0.404,0.022,0.831,0.43999999999999817
-0.3130997465148379,0.007354498384157204,0.8059999999999999,-0.007767908267543122,-0.393,0.02,0.83,0.4400000000000004
-0.3110993715396725,0.006402284799015864,0.8059999999999999,-0.007925567404075812,-0.379,0.02,0.828,0.2400000000000002
-0.31009775205246143,0.007598595917922589,0.8059999999999999,-0.008573248181183083,-0.369,0.019,0.829,0.40000000000000036
-0.30809605301165777,0.00778973990801321,0.8039999999999999,-0.009203884727313847,-0.356,0.018,0.83,0.20000000000000018
-0.3070941061365191,0.007993797806212937,0.8029999999999999,-0.009877131850885878,-0.349,0.017,0.832,0.28000000000000025
-0.3070965940024416,0.006730330404744184,0.8009999999999999,-0.009007876071084015,-0.345,0.017,0.833,0.16000000000000014
-0.30509848157586117,0.007512064172616816,0.7989999999999999,-0.00828775731232659,-0.334,0.017,0.837,0.20000000000000018
-0.3040974398577132,0.007634758376002665,0.7949999999999999,-0.008692557798018634,-0.334,0.017,0.837,0.20000000000000018
-0.30409810356335953,0.007557267349138086,0.7929999999999999,-0.008436894333371026,-0.325,0.016,0.84,0.20000000000000018
-0.30310020219444517,0.005295088165290446,0.7899999999999999,-0.00757189961131329,-0.324,0.017,0.84,0.040000000000000036
-0.30309888435643767,0.0064629863748786615,0.7879999999999999,-0.008125837118049772,-0.318,0.017,0.841,0.1200000000000001
-0.30210336620218947,0.004830135760383186,0.7839999999999999,-0.006037918823427649,-0.316,0.016,0.84,0.08000000000000007
-0.30210527115017033,0.003481418570738362,0.7829999999999999,-0.004887433232513417,-0.314,0.017,0.838,0.08000000000000007
-0.30110660260463246,0.003177903848965974,0.7819999999999999,-0.003886084662643624,-0.313,0.016,0.837,0.040000000000000036
-0.3011080904099243,0.0016967984279242822,0.7819999999999999,-0.0022988406529563985,-0.31,0.016,0.833,0.040000000000000036
-0.30010879778235694,0.0012381321781060213,0.7819999999999999,-0.0007856325215733753,-0.308,0.016,0.83,0.08000000000000007
-0.29910861086821194,0.002412331835842724,0.7809999999999999,-0.0013603426848124748,-0.306,0.016,0.828,0.08000000000000007
-0.298108020665009,0.002726504329277227,0.7819999999999999,-0.0023968449810713144,-0.305,0.015,0.823,0.040000000000000036
-0.2971073661043144,0.0029615681489828308,0.7839999999999999,-0.0031723574905023885,-0.305,0.014,0.821,0.0
-0.2971077323,0.002838224284761885,0.7839999999999999,-0.002765426475938281,-0.303,0.014,0.818,0.08000000000000007
-0.2961076542359998,0.0028659928115309426,0.7849999999999999,-0.002857039217437007,-0.303,0.013,0.816,0.0
-0.2951066301265335,0.0031708002975933654,0.7859999999999999,-0.0038626488450509274,-0.302,0.013,0.816,0.040000000000000036
-0.2951036129305364,0.004788806433231516,0.7859999999999999,-0.0059015649756155916,-0.301,0.012,0.816,0.040000000000000036
-0.2941007127787633,0.0042266371517635706,0.7849999999999999,-0.007346063550874571,-0.301,0.012,0.817,0.0
-0.29409971639211246,0.004358372960531115,0.7849999999999999,-0.007780691440775501,-0.3,0.011,0.818,0.040000000000000036
-0.293093565499429,0.005048040820482701,0.7839999999999999,-0.010056096276139202,-0.298,0.011,0.821,0.040000000000000036
-0.2920943095400394,0.0049731337754607835,0.7829999999999999,-0.00980895492697985,-0.297,0.01,0.822,0.040000000000000036
-0.29208974221740747,0.005407075371267582,0.7829999999999999,-0.011240670329006448,-0.297,0.01,0.823,0.0
-0.2910850421454162,0.005802266128414798,0.7809999999999999,-0.012544553998709242,-0.296,0.009,0.825,0.0
-0.291082413592459,0.006006316384111396,0.7809999999999999,-0.013217801122281275,-0.295,0.008,0.826,0.040000000000000036
-0.2900809952576422,0.006112215173975752,0.7799999999999999,-0.013567207857299672,-0.295,0.008,0.827,0.0
-0.28907556756059005,0.005494479705841785,0.7789999999999999,-0.014828480949561197,-0.291,0.009,0.826,0.040000000000000036
-0.289075029168832,0.0055306395036048926,0.7789999999999999,-0.014947790566396746,-0.288,0.009,0.825,0.08000000000000007
-0.2890677226751925,0.005995545262791361,0.7789999999999999,-0.016481771354282387,-0.287,0.009,0.824,0.040000000000000036
-0.2880669098225992,0.006044617981624554,0.7789999999999999,-0.016643691548559207,-0.285,0.009,0.824,0.08000000000000007
-0.28806852758191104,0.004946472412984219,0.7779999999999999,-0.01631985116000557,-0.283,0.009,0.824,0.08000000000000007
-0.28706617579816973,0.005088525039035099,0.7779999999999999,-0.016788567511859517,-0.281,0.009,0.822,0.039999999999997815
-0.2870646445417551,0.005178921584614012,0.7789999999999999,-0.017086841553948393,-0.28,0.009,0.821,0.040000000000000036
-0.28706965772801474,0.004876737087846346,0.7789999999999999,-0.016089754041822724,-0.278,0.009,0.819,0.040000000000000036
-0.2870765182439284,0.003429908479614139,0.7799999999999999,-0.01461542806235486,-0.276,0.009,0.818,0.08000000000000007
-0.28707436960744415,0.0035745477427075014,0.7799999999999999,-0.015092666529697058,-0.275,0.009,0.817,0.040000000000000036
-0.2870715867424358,0.0027553453525655048,0.7809999999999999,-0.01568921461387481,-0.274,0.009,0.816,0.040000000000000036
-0.28606473276846983,0.003173756080059627,0.7809999999999999,-0.017069797322971886,-0.272,0.008,0.815,0.040000000000000036
-0.2870598889958213,0.0024501084246503343,0.7819999999999999,-0.017981663680215015,-0.272,0.008,0.815,0.0
-0.28704336323372465,0.0033023805020657325,0.7819999999999999,-0.020793961791338692,-0.269,0.008,0.815,0.040000000000000036
-0.28703562820165457,0.0036639358061557404,0.7819999999999999,-0.02198705795969419,-0.268,0.008,0.815,0.040000000000000036
-0.28604130637793757,0.0014005178503751145,0.7809999999999999,-0.021117802179892328,-0.267,0.008,0.815,0.040000000000000036
-0.2860434706089357,0.0012972153600716895,0.7799999999999999,-0.020776917560362183,-0.267,0.007,0.815,0.0
-0.28603437347735644,0.0017207507903531875,0.7799999999999999,-0.02217454450043577,-0.267,0.006,0.815,0.0
-0.2860271021770092,0.0010409762252404364,0.7789999999999999,-0.02323128682097921,-0.267,0.006,0.815,0.0
-0.2870335694703422,0.0007569056574207762,0.7779999999999999,-0.02229385411727132,-0.266,0.006,0.815,0.040000000000000036
-0.28703574173929886,0.0006587707959468548,0.7779999999999999,-0.021970013728717683,-0.266,0.005,0.815,0.0
-0.28805147412607757,-0.0011005059529375135,0.7769999999999999,-0.019464511775171136,-0.266,0.005,0.814,0.0
-0.28805715808053667,-0.00040009498753693085,0.7759999999999999,-0.018475946378533722,-0.266,0.004,0.813,0.0
-0.2880564878010402,-0.0013639373940695755,0.7759999999999999,-0.01859525599536927,-0.266,0.004,0.812,0.0
-0.28905904939401644,-0.0005034028349253233,0.7759999999999999,-0.01813506175900358,-0.267,0.004,0.811,0.0
-0.28906007460555366,-0.0005602224240097613,0.7759999999999999,-0.017947575218262,-0.267,0.003,0.81,0.0
-0.506609921984186,0.487351377381068,0.8979999999999999,-0.004525243324262642,0.011,0.319,0.589,0.0
-0.5076094197098596,0.4874598676352445,0.8979999999999999,-0.004734035153724854,0.011,0.32,0.589,-0.040000000000000036
-0.507605365330743,0.4882037976691989,0.8989999999999999,-0.006165750555751453,0.011,0.32,0.589,0.0
-0.5076034363995017,0.4885026963655266,0.8989999999999999,-0.006740993351208568,0.012,0.321,0.589,0.040000000000000036
-0.507601864953111,0.48972853017273205,0.8999999999999999,-0.0071756212411095,0.012,0.321,0.589,0.0
-0.5085986583596155,0.4911514131193614,0.9009999999999999,-0.007989483270237714,0.013,0.322,0.589,0.039999999999999966
-0.5095988347820181,0.4891292727167289,0.8989999999999999,-0.007946872692796446,0.013,0.321,0.589,0.0
-0.5096018490609117,0.4887307442262487,0.8989999999999999,-0.007179882298853626,0.013,0.321,0.589,0.0
-0.5105976529598577,0.49027539923367014,0.8999999999999999,-0.008228102503908815,0.013,0.317,0.588,0.0
-0.5115952632275796,0.4905565811155029,0.8999999999999999,-0.008769256837412916,0.013,0.315,0.587,0.0
-0.5125931929591412,0.4907868393042509,0.8999999999999999,-0.0092124068428021,0.013,0.311,0.587,0.0
-0.5135898086837357,0.4921410808201093,0.8999999999999999,-0.009894176081862386,0.012,0.301,0.585,-0.039999999999999966
-0.5145871580442153,0.49340233241624737,0.8999999999999999,-0.010396980895669346,0.012,0.294,0.584,0.0
-0.5145845688074122,0.49364587081108585,0.8999999999999999,-0.01086569724752329,0.012,0.287,0.583,0.0
-0.5165804453021958,0.4950133900232653,0.8999999999999999,-0.011573032833048337,0.018,0.274,0.578,0.23999999999999994
-0.5165800856500519,0.4950443854844691,0.8999999999999999,-0.011632687641466112,0.019,0.265,0.577,0.040000000000000036
-0.5175801371421352,0.4960399575627543,0.9009999999999999,-0.011624165525977859,0.02,0.255,0.576,0.040000000000000036
-0.5185573912600239,0.49775352739587053,0.9009999999999999,-0.014922224219931987,0.021,0.244,0.574,0.040000000000000036
-0.5185562625077706,0.49782879869178626,0.9019999999999999,-0.015067100183232299,0.017,0.219,0.577,-0.16
-0.5195532903930149,0.49902361774959386,0.9019999999999999,-0.015442073264715453,0.017,0.197,0.578,0.0
-0.5175558615210079,0.4978553649923707,0.8979999999999999,-0.01511823287616182,0.018,0.171,0.577,0.0
-0.5175596160494668,0.4976029843174016,0.8979999999999999,-0.014632472293331367,0.019,0.157,0.577,0.040000000000000036
-0.5175627456319922,0.4983860240553183,0.8979999999999999,-0.014214888634406942,0.02,0.142,0.577,0.040000000000000036
-0.5185658456918989,0.49816463470540834,0.8969999999999999,-0.013788782859994263,0.022,0.127,0.576,0.07999999999999993
-0.5185741354672846,0.4985358819927966,0.8969999999999999,-0.012578642460662256,0.023,0.099,0.577,0.040000000000000036
-0.5185754613886332,0.49942961295793836,0.8969999999999999,-0.012374111688944171,0.026,0.086,0.576,0.11999999999999997
-0.5185790478839821,0.49913294382615,0.8979999999999999,-0.011803129951231183,0.027,0.059,0.577,0.07999999999999993
-0.5185857126938701,0.49953959966090444,0.8979999999999999,-0.010661166475805206,0.028,0.045,0.578,0.040000000000000036
-0.5195899836333859,0.5001233687997012,0.8979999999999999,-0.009860087619909372,0.03,0.033,0.577,0.07999999999999993
-0.5195937200923961,0.5007292748434271,0.8979999999999999,-0.009101619341454805,0.031,0.014,0.578,0.0
-0.5195966179746573,0.5003993851045413,0.8989999999999999,-0.008466721737579914,0.035,0.0,0.576,0.16000000000000014
-0.5195944394407961,0.5016495701096847,0.8989999999999999,-0.00894822126266624,0.036,-0.006,0.576,0.03999999999999976
